"CORRALES 1.3 ENE, NM US (US1NMSN0076)",,,,,,,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches),,,,,
11/12/2025,,,,0,0,,,,,,
11/13/2025,,,,0,0,,,,,,
11/14/2025,,,,0,0,,,,,,
11/15/2025,,,,0,0,,,,,,
11/16/2025,,,,0,0,,,,,,
11/17/2025,,,,0.02,,,,,,,
11/18/2025,,,,0,0,,,,,,
11/19/2025,,,,0,0,,,,,,
11/20/2025,,,,0.25,,,,,,,
11/21/2025,,,,0.11,,,,,,,
11/22/2025,,,,0,0,,,,,,
11/23/2025,,,,0.19,,,,,,,
11/24/2025,,,,0,0,,,,,,
11/25/2025,,,,0,0,,,,,,
11/26/2025,,,,0,0,,,,,,
11/27/2025,,,,0,0,,,,,,
11/28/2025,,,,0,0,,,,,,
11/29/2025,,,,0,0,,,,,,
11/30/2025,,,,0,0,,,,,,
12/1/2025,,,,0,0,,,,,,
12/2/2025,,,,0,0,,,,,,
12/3/2025,,,,0,0,,,,,,
12/4/2025,,,,0.11,,,,,,,
12/5/2025,,,,0,0,,,,,,
12/6/2025,,,,0,0,,,,,,
12/7/2025,,,,0,0,,,,,,
12/8/2025,,,,0,0,,,,,,
12/9/2025,,,,0,0,,,,,,
12/10/2025,,,,0,0,,,,,,
12/11/2025,,,,0,0,,,,,,
12/12/2025,,,,0,0,,,,,,
12/13/2025,,,,0,0,,,,,,
12/14/2025,,,,0,0,,,,,,
12/15/2025,,,,0,0,,,,,,
12/16/2025,,,,0,0,,,,,,
12/17/2025,,,,0,0,,,,,,
12/18/2025,,,,0,0,,,,,,
12/19/2025,,,,0,0,,,,,,
12/20/2025,,,,0,0,,,,,,
12/21/2025,,,,0,0,,,,,,
12/22/2025,,,,0,0,,,,,,
12/23/2025,,,,0,0,,,,,,
12/24/2025,,,,0,0,,,,,,
12/25/2025,,,,0,0,,,,,,
12/26/2025,,,,0,0,,,,,,
12/27/2025,,,,0,0,,,,,,
12/28/2025,,,,0.08,,,,,,,
12/29/2025,,,,0,0,,,,,,
12/30/2025,,,,0,0,,,,,,
12/31/2025,,,,0,0,,,,,,
1/1/2026,,,,0.01,,,,,,,
1/2/2026,,,,0,,,,,,,
1/3/2026,,,,0,,,,,,,
1/4/2026,,,,0,0,,,,,,
1/5/2026,,,,0,0,,,,,,
1/6/2026,,,,0,0,,,,,,
1/7/2026,,,,0,0,,,,,,
1/8/2026,,,,0.27,,,,,,,
1/9/2026,,,,0.11,,,,,,,
1/10/2026,,,,0,0,,,,,,
1/11/2026,,,,0,0,,,,,,
1/12/2026,,,,0,0,,,,,,
1/13/2026,,,,0,0,,,,,,
1/14/2026,,,,0,0,,,,,,
1/15/2026,,,,0,0,,,,,,
1/16/2026,,,,0,0,,,,,,
1/17/2026,,,,0,0,,,,,,
1/18/2026,,,,0,0,,,,,,
1/19/2026,,,,0,0,,,,,,
1/20/2026,,,,0,0,,,,,,
1/21/2026,,,,0,0,,,,,,
1/22/2026,,,,0,0,,,,,,
1/23/2026,,,,0,0,,,,,,
1/24/2026,,,,0.03,,,,,,,
1/25/2026,,,,0.14,1,1,,,,,
1/26/2026,,,,0,0,,,,,,
1/27/2026,,,,0,0,,,,,,
1/28/2026,,,,0,0,,,,,,
1/29/2026,,,,0,0,,,,,,
1/30/2026,,,,0,0,,,,,,
1/31/2026,,,,0,0,,,,,,
2/1/2026,,,,0,0,,,,,,
2/2/2026,,,,0,0,,,,,,
2/3/2026,,,,0,0,,,,,,
2/4/2026,,,,0,0,,,,,,
2/5/2026,,,,0,0,,,,,,
2/6/2026,,,,0,0,,,,,,
2/7/2026,,,,0,0,,,,,,
2/8/2026,,,,0,0,,,,,,
2/9/2026,,,,0,0,,,,,,
2/10/2026,,,,0,0,,,,,,
2/11/2026,,,,0,0,,,,,,
2/12/2026,,,,0,0,,,,,,
2/13/2026,,,,0,0,,,,,,
2/14/2026,,,,0.18,,,,,,,
2/15/2026,,,,0,0,,,,,,
2/16/2026,,,,0,0,,,,,,
2/17/2026,,,,0,0,,,,,,
2/18/2026,,,,0,0,,,,,,
2/19/2026,,,,0.01,,,,,,,
2/20/2026,,,,0,0,,,,,,
2/21/2026,,,,0,0,,,,,,
2/22/2026,,,,0,0,,,,,,
2/23/2026,,,,0,0,,,,,,
2/24/2026,,,,0,0,,,,,,
2/25/2026,,,,0,0,,,,,,
2/26/2026,,,,0,0,,,,,,
2/27/2026,,,,0,0,,,,,,
2/28/2026,,,,0,0,,,,,,
3/1/2026,,,,0,0,,,,,,
3/2/2026,,,,0,0,,,,,,
3/3/2026,,,,0,0,,,,,,
3/4/2026,,,,0,0,,,,,,
3/5/2026,,,,0,0,,,,,,
3/6/2026,,,,0,0,,,,,,
3/7/2026,,,,0,0,,,,,,
3/8/2026,,,,0,0,,,,,,
3/9/2026,,,,0,0,,,,,,
3/10/2026,,,,0,0,,,,,,
3/11/2026,,,,0,0,,,,,,
3/12/2026,,,,0,0,,,,,,
3/13/2026,,,,0,0,,,,,,
3/14/2026,,,,0,0,,,,,,
3/15/2026,,,,0,0,,,,,,
3/16/2026,,,,0,0,,,,,,
3/17/2026,,,,0,0,,,,,,
3/18/2026,,,,0,0,,,,,,
3/19/2026,,,,0,0,,,,,,
3/20/2026,,,,0,0,,,,,,
3/21/2026,,,,0,0,,,,,,
3/22/2026,,,,0,0,,,,,,
3/23/2026,,,,0,0,,,,,,
3/24/2026,,,,0,0,,,,,,
3/25/2026,,,,0,0,,,,,,
3/26/2026,,,,0,0,,,,,,
3/27/2026,,,,0,0,,,,,,
3/28/2026,,,,0,0,,,,,,
3/29/2026,,,,0,0,,,,,,
3/30/2026,,,,0,0,,,,,,
3/31/2026,,,,0,0,,,,,,
4/1/2026,,,,0.05,,,,,,,
4/2/2026,,,,0.03,,,,,,,
4/3/2026,,,,0,0,,,,,,
